Code, FirstName, LastName, BirthDate, streetLine, City, State
1001, JOHN, SMITH, 19700101, 101 main st, concord, NH
1010, JACKSON, MILLS, 20000101, 1010 main st, Nashua, nH
1003, STEVEN, DANIELS, 19870910, 303 main st,manchester, nh
1005, JAKE, GRANT, 19990105, 505 main st, lowell, Ma
1006, ROB, MILLS, 20210105, 606 main st, bow, NH
1004, JACK, SPACY, 19700724, 404 main st, nashua, NH
1008, KEVIN, THOMPSON, 20030606, 808 main st, nashua,nh
1009, PETER, CARLSON, 20001019, 909 main st, NASHUA, Nh
1007, BOB, YESKE, 20200202, 707 main st, Lowell, MA
1002, MIKE, CARLSON, 19730201,202 main st, nashua, NH
